dmsTimestamp,transaction_id,transaction_date,customer_id,product_id,store_id
2022-06-24 18:53:25.151162,1,2022-06-18,19,2,1
2022-06-24 18:53:25.151173,2,2022-05-31,58,9,2
2022-06-24 18:53:25.151176,3,2022-05-27,82,2,1
2022-06-24 18:53:25.151179,4,2022-06-04,71,8,1
2022-06-24 18:53:25.151181,5,2022-06-22,38,1,2
2022-06-24 18:53:25.151184,6,2022-05-25,4,8,1
2022-06-24 18:53:25.151186,7,2022-06-20,70,5,1
2022-06-24 18:53:25.151189,8,2022-05-28,36,4,2
2022-06-24 18:53:25.151191,9,2022-05-28,58,3,1
2022-06-24 18:53:25.151194,10,2022-06-14,22,1,1
2022-06-24 18:53:25.151196,11,2022-06-10,97,1,2
2022-06-24 18:53:25.151199,12,2022-06-03,64,5,2
2022-06-24 18:53:25.151201,13,2022-05-25,46,8,1
2022-06-24 18:53:25.151204,14,2022-06-03,63,1,1
2022-06-24 18:53:25.151206,15,2022-06-24,84,4,1
2022-06-24 18:53:25.151209,16,2022-05-31,73,1,2
2022-06-24 18:53:25.151211,17,2022-06-18,68,8,1
2022-06-24 18:53:25.151214,18,2022-05-27,56,5,1
2022-06-24 18:53:25.151217,19,2022-06-04,6,7,2
2022-06-24 18:53:25.151219,20,2022-06-22,83,4,1
2022-06-24 18:53:25.151222,21,2022-06-22,63,6,1
2022-06-24 18:53:25.151224,22,2022-05-25,14,7,2
2022-06-24 18:53:25.151227,23,2022-05-28,72,1,2
2022-06-24 18:53:25.151229,24,2022-06-11,39,4,1
2022-06-24 18:53:25.151232,25,2022-05-25,95,5,2
2022-06-24 18:53:25.151234,26,2022-06-24,42,5,2
2022-06-24 18:53:25.151237,27,2022-06-10,76,8,1
2022-06-24 18:53:25.151240,28,2022-05-29,60,8,1
2022-06-24 18:53:25.151242,29,2022-06-19,91,2,2
2022-06-24 18:53:25.151245,30,2022-06-24,18,1,2
2022-06-24 18:53:25.151247,31,2022-05-31,25,1,1
2022-06-24 18:53:25.151250,32,2022-05-31,36,9,1
2022-06-24 18:53:25.151252,33,2022-06-19,37,8,2
2022-06-24 18:53:25.151255,34,2022-06-21,90,1,2
